City,Latitude,Longitude,Max Tem,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,ID,Date
busselton,-33.65,115.3333,68.0,68.0,81,100,13.29,AU,2075265,1616077359
north bend,43.4065,-124.2243,44.6,43.38,93,90,5.75,US,5742974,1616077369
punta arenas,-53.15,-70.9167,55.4,55.4,58,40,26.46,CL,3874787,1616077369
kodiak,57.79,-152.4072,32.0,32.0,43,20,11.5,US,5866583,1616077370
port hedland,-20.3167,118.5667,80.6,80.6,57,0,17.27,AU,2063042,1616077370
albany,42.6001,-73.9662,39.99,37.83,73,100,1.77,US,5106841,1616077370
aguimes,27.9054,-15.4461,71.6,69.89,53,20,29.93,ES,2522325,1616077371
shepsi,44.0361,39.1489,44.94,44.94,85,100,7.07,RU,494846,1616077371
vung tau,10.346,107.0843,78.84,78.84,83,0,18.39,VN,1562414,1616077371
sitka,57.0531,-135.33,33.8,33.8,80,40,6.91,US,5557293,1616077372
ushuaia,-54.8,-68.3,44.6,44.6,87,75,24.16,AR,3833367,1616077301
qaanaaq,77.484,-69.3632,-13.88,-13.88,85,3,8.55,GL,3831208,1616077372
pangody,65.85,74.4859,1.65,1.65,96,100,8.86,RU,1495626,1616077373
gualeguaychu,-33.0094,-58.5172,61.0,61.0,69,0,10.0,AR,3433658,1616077088
bambanglipuro,-7.95,110.2833,79.38,79.38,85,100,2.62,ID,1650434,1616077373
victoria,22.2855,114.1577,75.0,72.18,87,100,10.33,HK,1819729,1616077175
honiara,-9.4333,159.95,76.93,76.93,84,96,3.49,SB,2108502,1616077373
fortuna,40.5982,-124.1573,53.01,50.52,93,90,14.97,US,5563839,1616077253
puerto ayora,-0.7393,-90.3518,84.99,84.99,78,12,1.01,EC,3652764,1616077374
severo-kurilsk,50.6789,156.125,30.4,30.4,87,30,9.69,RU,2121385,1616077374
saint-philippe,-21.3585,55.7679,80.6,75.43,78,90,13.8,RE,935215,1616077375
rikitea,-23.1203,-134.9692,77.18,77.18,81,100,16.64,PF,4030556,1616077375
raudeberg,61.9875,5.1352,42.01,42.01,90,99,3.53,NO,3146487,1616077375
constitucion,-35.3333,-72.4167,57.88,57.88,77,95,2.19,CL,3893726,1616077286
provideniya,64.3833,-173.3,-9.2,-9.2,89,30,1.14,RU,4031574,1616077376
cape town,-33.9258,18.4232,70.0,69.64,73,20,11.5,ZA,3369157,1616077323
port alfred,-33.5906,26.891,76.39,76.39,78,16,21.47,ZA,964432,1616077376
ilulissat,69.2167,-51.1,10.4,10.4,85,90,21.85,GL,3423146,1616077218
sao jose da coroa grande,-8.8978,-35.1478,84.31,84.31,64,42,10.58,BR,3388456,1616077377
fort nelson,58.8053,-122.7002,24.8,24.8,63,75,2.04,CA,5955902,1616077377
carnarvon,-24.8667,113.6333,82.4,82.4,69,0,12.66,AU,2074865,1616077377
barrow,71.2906,-156.7887,-7.6,-7.6,84,90,4.36,US,5880054,1616077378
taoudenni,22.6783,-3.9836,90.73,90.73,8,0,10.2,ML,2450173,1616077378
pisco,-13.7,-76.2167,73.4,71.92,73,0,5.75,PE,3932145,1616077378
arraial do cabo,-22.9661,-42.0278,87.8,87.8,58,0,13.8,BR,3471451,1616077164
yinchuan,38.4681,106.2731,45.0,45.0,21,18,1.01,CN,1786657,1616077206
yulara,-25.2406,130.9889,73.4,73.4,23,100,8.05,AU,6355222,1616077379
chokurdakh,70.6333,147.9167,-39.91,-39.91,94,0,7.05,RU,2126123,1616077221
berlevag,70.8578,29.0864,26.6,24.6,68,75,18.41,NO,780687,1616077379
atuona,-9.8,-139.0333,79.25,79.25,80,83,11.48,PF,4020109,1616077380
cherskiy,68.75,161.3,-18.06,-18.06,80,10,1.21,RU,2126199,1616077380
hermanus,-34.4187,19.2345,73.0,73.0,73,0,8.99,ZA,3366880,1616077380
touros,-5.1989,-35.4608,78.8,78.8,78,75,9.22,BR,3386213,1616077381
komsomolskiy,40.4272,71.7189,55.4,55.4,22,0,2.3,UZ,1513491,1616077381
nanortalik,60.1432,-45.2371,28.56,28.56,73,100,3.56,GL,3421765,1616077381
georgetown,5.4112,100.3354,87.01,85.19,79,20,4.61,MY,1735106,1616077328
xichang,27.8964,102.2634,61.48,61.48,33,0,3.62,CN,1789647,1616077382
klaksvik,62.2266,-6.589,48.2,48.2,100,75,13.8,FO,2618795,1616077275
kahului,20.8947,-156.47,73.4,67.05,78,20,12.24,US,5847411,1616077382
kapaa,22.0752,-159.319,70.0,66.42,88,90,20.71,US,5848280,1616077188
lebu,-37.6167,-73.65,59.18,59.18,73,0,5.82,CL,3883457,1616077383
